id	name	website	facebook	instagram	youtube	otherSocials	imageUrl	application_id
adrian-black	Adrian Black	https://adrianblackshowman.com/			https://www.youtube.com/@Adrianblackshowman		https://images.zoogletools.com/s:bzglfiles/u/771005/ef1fcbb6bce67bb43ebb8e3f6328cc416962dc49/original/adrian-black-showman-luxury-weddings-and-events-in-europe.png/!!/b%3AW1siZXh0cmFjdCIseyJsZWZ0IjowLCJ0b3AiOjAsIndpZHRoIjoxMzY1LCJoZWlnaHQiOjc2OH1dLFsicmVzaXplIiwxMzY2XSxbIm1heCJdLFsid2UiXV0%3D/meta%3AeyJzcmNCdWNrZXQiOiJiemdsZmlsZXMifQ%3D%3D.png	swingfestivals
alberto-meucci	Alberto Meucci		https://www.facebook.com/alberto.meucci.7/	https://www.instagram.com/alberto__meucci/			https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.82787-19/584352963_18538399075014829_1923635197248052638_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NDAuYzIifQ&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2gHSlmo3ihFqW5ZaoRXF9hhlrdYFMJTeNzg5A_9PZwv2YL1qFTQprC0U_O5dri-Dmrg&_nc_ohc=yhiykztB4BgQ7kNvwH7Z6ko&_nc_gid=_9nnMO9BajYkpx3wIASEVw&edm=APoiHPcBAAAA&ccb=7-5&oh=00_Af5C9JbMz8JCMm6M_hTa5WvG4lT2k9NLGBcfhMs-aQ-7lA&oe=69FC17B9&_nc_sid=22de04	swingfestivals
alexandros-velenzas	Alexandros Velenzas			https://www.instagram.com/alex.vltz/			https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.2885-19/350462772_642832943961722_4415835510159714007_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NTIuYzIifQ&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gG33h8oj08uCM1d6LlEDWVxG3ES9gpSE0C6pexecQyFeU2wyz_R-u1bD4zsy5dZOcU&_nc_ohc=9H7j_TIG7NcQ7kNvwEXPKe1&_nc_gid=gZOEjVAWgOLNP5_XK9aCbg&edm=APoiHPcBAAAA&ccb=7-5&oh=00_Af4sexSTlHaF7OUJArzWW8R9bhD039ixKEISMNgALprRXw&oe=69FC1118&_nc_sid=22de04	swingfestivals
amanda-pincock	Amanda Pincock		https://www.facebook.com/amanda.pincock	https://www.instagram.com/pcvamanda/			https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.2885-19/13320078_1727175150892505_1908836314_a.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45OTkuYzIifQ&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2gHFrqEWdhrk1e-OIbW9jbB3yNR8Ve0pPdwiIHhm4YSRJrwGmfuanMO7D7j_oTy1kXo&_nc_ohc=EkIiUtSs-sUQ7kNvwHTy0W0&_nc_gid=eM9qG4klXhjjgXZgbvCEjg&edm=ALGbJPMBAAAA&ccb=7-5&oh=00_Af7kaWSXZy60GelK_InFP_GKewmywslEXeW4PXR1xxWDYg&oe=69FC0983&_nc_sid=7d3ac5	swingfestivals
ana-maeso	Ana Maeso		https://www.facebook.com/anamaesoarana/about/?_rdr	https://www.instagram.com/nutriadelmonte/			https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.82787-19/642478740_18530551828070768_8733420877286459644_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2gEd_dqvbwdLZGRelpcrRTQqmgaKyuKphdOV4T_5bJ4iMtcEbE3ct8MwwRcQIB_evC4&_nc_ohc=6HR95jnT9FAQ7kNvwFB1EhM&_nc_gid=ljBTdCY8zuAXLx2SZsQYNA&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_Af7CB-K2qSD4-t-Do8OgLMfbyFpj4pzpIaDJWqq5uaG8YQ&oe=69FBE82B&_nc_sid=7a9f4b	swingfestivals
anais-nguyen-the	Anaïs Nguyen Thé	https://nguyentheanais.wixsite.com/anais-swing-blues?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnAEKGxuK-AspxC5wTPxyqGzC9WsOqHYK7rqFwCZo4f7pvNa-8d7rZ75y8axY_aem_sXQK4q9Ofvq3qKiPQOqg5Q		https://www.instagram.com/anaisnguyenthe/			https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.2885-19/479676281_942120957678488_6649434775581905422_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2gFU_bO3loZ0bySGUnp-vLBA9GhLmoTOfyUQqG-CsVLNqUwZChWMu81bx5DzXu8k8rs&_nc_ohc=cV9yfs62R4IQ7kNvwENGUa_&_nc_gid=Zp503Fm6Vnxfq7dpwIxJZA&edm=APoiHPcBAAAA&ccb=7-5&oh=00_Af7ZM9RcVa8G-7SLzRSycz1XuCtQg6iV9QuDHK5F7PRx6w&oe=69FBEB5E&_nc_sid=22de04	swingfestivals
anders-silhberg	Anders Silhberg			https://www.instagram.com/anderssihlberg/	https://www.youtube.com/playlist?list=PLqfJbTjPE6ojxA55ZGLb2DeQjSzy7L2e6		https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.82787-19/645842714_17958338799065114_721363764071579696_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gHkCETmwhrWUPz9IWH7IfnF3jbG_GwXwdKT_SknWCtkSGGu11B4NdfUAG8cW8yfdnE&_nc_ohc=C-pZYdLmb74Q7kNvwH9C_U5&_nc_gid=lXj5gNnt9g-DG5qZ-NcRVQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_Af5xtHfCQW_KM8Hj88NOyVBPKeEbBusj4A1gH86pBYbkCQ&oe=69FC0694&_nc_sid=22de04	swingfestivals
anouk-chipault-le-guennec	Anouk Chipault Le Guennec			https://www.instagram.com/anouk.cl/			https://instagram.fvlc6-2.fna.fbcdn.net/v/t51.2885-19/434397314_1527493841141583_7809630173011782318_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fvlc6-2.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2gEz28NVw11A5v3MRHF0oQyUu9_yFBuojs_UlSokgs-qeaH36VphO74NKu5S1Ou35gI&_nc_ohc=X7d2b6wS5d0Q7kNvwEcENNx&_nc_gid=IDmjVbHibOUkbaX6lJJDHw&edm=APoiHPcBAAAA&ccb=7-5&oh=00_Af43dfbffremHiY-MTAw6m1r7HbWw96ZS3wFKDTBJBqMAg&oe=69FC00F4&_nc_sid=22de04	swingfestivals
ari	Ari	https://ariandsimon.com/	https://www.facebook.com/ariandsimon/	https://www.instagram.com/ariandsimon/	https://www.youtube.com/@ariandsimon		https://ariandsimon.com/wp-content/uploads/2021/08/200308_SimonyAri_1699.jpg	swingfestivals
ariadne-beltran	Ariadne Beltran			https://www.instagram.com/ariadna.ba/		https://es.linkedin.com/in/ariadna-beltran-4b5ba491	https://instagram.fvlc6-2.fna.fbcdn.net/v/t51.2885-19/318604960_1778695289167090_4508794592180322538_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fvlc6-2.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2gEq0unnMBmaWGlWcOyn-ePG0d47ppQhqjaMt0q8kWikmZvZMqz9cV6d14N0P4oPGsY&_nc_ohc=nvzJtyI5nawQ7kNvwFB1HrI&_nc_gid=otNeALjAN6HCmj3d-YcbiA&edm=APoiHPcBAAAA&ccb=7-5&oh=00_Af5n5fqO14pfFyBc-0qtqti4MpVVQ7Co42cqV-b_Hmhs8w&oe=69FC08BF&_nc_sid=22de04	swingfestivals
